Frames: 21604
Frame Time: 0.008333
0.2759606 1.559704 0.06779661
0.2759434 1.559691 0.06776533
0.275967 1.559674 0.06786609
0.275945 1.559643 0.06788214
0.2759783 1.559639 0.06793567
0.2759672 1.559651 0.06787188
0.2759835 1.559681 0.06778149
0.276053 1.559701 0.06772053
0.2760536 1.559689 0.06772729
0.2761079 1.559669 0.06782979
0.2761106 1.559651 0.06786988
0.2761225 1.559636 0.06780045
0.2761379 1.55965 0.06765628
0.2762013 1.559673 0.06751778
0.2762813 1.559681 0.06739795
0.2762886 1.559665 0.06740879
0.276339 1.55964 0.06742857
0.2763536 1.559608 0.06742473
0.2763846 1.559604 0.06731472
0.2764694 1.559618 0.06712975
0.2764982 1.559642 0.06697679
0.2765861 1.559655 0.06698032
0.2766123 1.559645 0.06706926
0.2765535 1.559613 0.06706648
0.2765757 1.559579 0.06704421
0.276614 1.559589 0.06700253
0.2766407 1.559623 0.06685596
0.2767075 1.559644 0.06679003
0.2767815 1.55964 0.06678496
0.276809 1.559608 0.06680624
0.276867 1.559584 0.0668344
0.2768743 1.559559 0.06678351
0.2769165 1.559569 0.06663366
0.2769587 1.559592 0.06651925
0.2770179 1.559621 0.06647981
0.2770669 1.559623 0.06653026
0.2771202 1.559597 0.06659599
0.2771144 1.559565 0.06662015
0.2771444 1.559561 0.06661876
0.2771889 1.559581 0.0665205
0.2772154 1.559609 0.06646488
0.2772497 1.559623 0.06644846
0.2772909 1.559629 0.0665241
0.2773495 1.559622 0.06663326
0.2773899 1.559615 0.06669588
0.2773748 1.559611 0.06670775
0.2774094 1.559605 0.06665218
0.2774563 1.559628 0.06659209
0.2774819 1.559635 0.06654994
0.2775317 1.55964 0.06659605
0.2775626 1.559642 0.06661101
0.2776025 1.559632 0.06657454
0.2776138 1.559625 0.06648853
0.2775955 1.559632 0.06638806
0.2776575 1.559656 0.06636287
0.2777014 1.559662 0.06638798
0.2776867 1.559653 0.0663956
0.2776836 1.559642 0.06641544
0.277707 1.559634 0.06634714
0.2776964 1.559625 0.06626904
0.2777093 1.559619 0.06618564
0.2777183 1.559629 0.06616757
0.2777159 1.559638 0.06612632
0.27775 1.559639 0.06616096
0.2777443 1.559636 0.06610984
0.2777103 1.559634 0.06604007
0.2776506 1.559637 0.06591528
0.2776361 1.559643 0.06592157
0.2776202 1.559635 0.06592609
0.2776386 1.559642 0.06593572
0.2776835 1.559638 0.06593513
0.2776347 1.559638 0.0658807
0.2776155 1.559636 0.06588059
0.2775532 1.559635 0.06581784
0.2775857 1.559637 0.0657851
0.2775901 1.559645 0.06578981
0.2776331 1.55965 0.06579094
0.2776527 1.559659 0.06576233
0.2776172 1.559639 0.06570446
0.2776013 1.559639 0.06569399
0.2776029 1.559634 0.0656217
0.2776091 1.559647 0.06561638
0.277627 1.559668 0.06559649
0.2776531 1.559686 0.06557122
0.2776254 1.559702 0.06550225
0.2776607 1.559696 0.06539514
0.2776228 1.559683 0.06536143
0.2776612 1.559684 0.06540891
0.2776302 1.559698 0.0654107
0.2776486 1.559708 0.06537365
0.2776598 1.559729 0.0653713
0.2776525 1.559729 0.06530119
0.2776687 1.559735 0.06526875
0.2775823 1.559731 0.06528454
0.2775634 1.559728 0.06529567
0.277553 1.559728 0.06531461
0.277551 1.559733 0.06528595
0.2776003 1.559748 0.06524897
0.2775849 1.559761 0.06522526
0.2775891 1.559755 0.06514721
0.2775407 1.559762 0.06517936
0.2774791 1.559755 0.06523814
0.2774878 1.55977 0.06525934
0.2774602 1.55979 0.06522792
0.27742 1.5598 0.06522066
0.2774023 1.559811 0.06519628
0.2773717 1.559812 0.06521832
0.2772806 1.55979 0.06526443
0.2772474 1.559773 0.06529041
0.277234 1.55979 0.06535164
0.2772469 1.559804 0.06531534
0.277264 1.559829 0.06525431
0.2772628 1.559838 0.06517671
0.2772536 1.559853 0.06515416
0.2772599 1.559836 0.06511378
0.277285 1.559836 0.06508503
0.2772767 1.559844 0.06502699
0.2773596 1.55986 0.06492785
0.2774297 1.559864 0.06475607
0.2774374 1.559832 0.06456571
0.2774732 1.559799 0.06453811
0.2775135 1.559764 0.06448815
0.277523 1.559766 0.06447386
0.2775601 1.559778 0.06438024
0.2776127 1.559797 0.06427722
0.2776441 1.559806 0.0641823
0.277621 1.559808 0.06419086
0.2775999 1.559806 0.06427407
0.2775632 1.559805 0.0643231
0.2775099 1.559811 0.0643609
0.2775081 1.559836 0.06436198
0.2775145 1.55985 0.06428788
0.2775339 1.559841 0.06426448
0.2774906 1.559837 0.0643701
0.2774111 1.559823 0.06444954
0.277356 1.559811 0.06447887
0.2773514 1.559827 0.0644391
0.2773443 1.559859 0.06439346
0.2773617 1.559883 0.06433733
0.277358 1.559888 0.06436234
0.2773425 1.559883 0.06441325
0.2773042 1.559855 0.0645207
0.2772863 1.559844 0.0645156
0.277303 1.559861 0.06439788
0.2773402 1.559899 0.06431893
0.277354 1.559912 0.06428774
0.2773871 1.559916 0.06433307
0.2773567 1.559896 0.0644443
0.2773134 1.559871 0.06451504
0.2772862 1.559866 0.06455228
0.2772996 1.559875 0.06449453
0.2773047 1.559901 0.06438894
0.2773412 1.559918 0.06441564
0.2773046 1.559895 0.06450136
0.2772734 1.559872 0.06463957
0.2772029 1.55985 0.06473254
0.2772021 1.55985 0.06471348
0.2772075 1.55987 0.06461385
0.2772305 1.559897 0.0645519
0.2772248 1.559906 0.06455069
0.2771954 1.559888 0.06461564
0.2771615 1.559865 0.06474773
0.2770969 1.559849 0.06482768
0.2770667 1.559855 0.06480861
0.2771014 1.55987 0.06470437
0.2770893 1.559883 0.06464261
0.2770739 1.559873 0.06466132
0.2770561 1.559862 0.06477585
0.2770347 1.559844 0.06489092
0.2769865 1.559836 0.06490374
0.2769684 1.559837 0.06482322
0.2769952 1.55987 0.06478272
0.2769763 1.559878 0.06474741
0.2770087 1.559863 0.0648113
0.2769682 1.559845 0.0648987
0.2769654 1.559835 0.06495192
0.2768903 1.559829 0.06490038
0.2768753 1.559831 0.06481276
0.2768964 1.559851 0.06472237
0.276871 1.559864 0.06476836
0.2768542 1.559853 0.06485441
0.2768015 1.559825 0.065001
0.2767591 1.559806 0.06505177
0.276684 1.559799 0.06500833
0.2766826 1.559816 0.06495957
0.2766861 1.559826 0.06485622
0.2766625 1.559829 0.0648851
0.2766061 1.559817 0.06495608
0.2765234 1.55981 0.06506997
0.2765312 1.559805 0.06510088
0.2764438 1.559813 0.06501239
0.2763956 1.559824 0.06493272
0.2763623 1.559837 0.06496292
0.2763642 1.559835 0.06503764
0.2763221 1.559816 0.0651446
0.2762437 1.559791 0.06525934
0.2761771 1.55978 0.06528144
0.2761214 1.559793 0.06525006
0.2760971 1.559814 0.06529056
0.2760638 1.559822 0.06532775
0.2760386 1.559818 0.06545492
0.2760184 1.55981 0.06557482
0.2760182 1.559808 0.0656407
0.2760255 1.559812 0.06562008
0.2760534 1.559822 0.06555121
0.2760824 1.55983 0.0655257
0.2760753 1.559834 0.06552151
0.2761519 1.559811 0.06558259
0.2762062 1.559797 0.06564699
0.2762288 1.55979 0.06560907
0.2763157 1.559794 0.06551602
0.276342 1.559795 0.06546339
0.2763567 1.559812 0.06545405
0.276384 1.559818 0.06552008
0.2764521 1.559821 0.06556767
0.2764674 1.559801 0.06555022
0.2764653 1.559793 0.06546584
0.2764862 1.559797 0.06539229
0.2765168 1.559805 0.06528619
0.2765527 1.559825 0.06534372
0.2766003 1.559829 0.06542055
0.276641 1.559824 0.06547687
0.2766895 1.559817 0.06544743
0.2767205 1.559804 0.06545354
0.2767689 1.5598 0.06536816
0.2767694 1.559805 0.06536288
0.2768184 1.559818 0.06544576
0.2768736 1.559819 0.06556519
0.2769531 1.559814 0.06556519
0.277 1.559807 0.06552612
0.2770508 1.559809 0.06541648
0.2770614 1.559795 0.06529211
0.2770828 1.559786 0.06523016
0.2771468 1.559779 0.06516473
0.2772088 1.559764 0.06504069
0.2773288 1.55974 0.06491759
0.2774835 1.559715 0.06471844
0.2775384 1.559687 0.06447568
0.277681 1.559679 0.06428678
0.2777959 1.559675 0.06413105
0.2780014 1.559681 0.0640523
0.2781612 1.559685 0.06395084
0.278305 1.559666 0.06383705
0.2784441 1.559637 0.06377279
0.2785692 1.559615 0.06365097
0.2787349 1.559593 0.06350978
0.2788679 1.559589 0.06334803
0.2789993 1.559592 0.06325478
0.2790251 1.559589 0.06309526
0.2790788 1.559572 0.06286211
0.2792272 1.559555 0.06276919
0.2794163 1.559529 0.06261589
0.2795381 1.559512 0.06260838
0.2796314 1.55952 0.06263382
0.2797001 1.559543 0.06262479
0.2794347 1.559554 0.0627432
0.2795715 1.559554 0.06265552
0.2796488 1.559535 0.06253269
0.2797906 1.559532 0.06254853
0.2798826 1.559527 0.06251626
0.279992 1.559535 0.06251074
0.2800781 1.559556 0.0624333
0.2800805 1.559558 0.06231056
0.2801588 1.559565 0.0622711
0.280224 1.559546 0.06225671
0.2802872 1.55954 0.06230215
0.2803303 1.559535 0.06234597
0.2803349 1.559544 0.06233831
0.280319 1.559554 0.06230351
0.2803655 1.559571 0.06226638
0.2803604 1.559557 0.06223846
0.2803898 1.559545 0.0623325
0.2804715 1.559516 0.06239192
0.2804963 1.559495 0.06245707
0.2805315 1.55949 0.06246407
0.2805519 1.5595 0.0623935
0.2806131 1.559498 0.06232187
0.2806844 1.55949 0.06227797
0.2807468 1.559453 0.06229427
0.2808503 1.559431 0.0623434
0.2808598 1.559419 0.0623999
0.2808246 1.559434 0.0623813
0.2807494 1.559446 0.06228402
0.2806527 1.559447 0.06218478
0.2806172 1.559409 0.06219166
0.2805479 1.559372 0.06229892
0.2803812 1.559334 0.06241357
0.2802512 1.559314 0.06251593
0.2801864 1.559332 0.06253126
0.2801784 1.559318 0.06245745
0.2801758 1.559307 0.06244561
0.2803508 1.559276 0.06246817
0.2805364 1.559249 0.06266544
0.2807903 1.559209 0.06286602
0.2810033 1.559193 0.06297143
0.2812369 1.559179 0.06304292
0.2814721 1.559164 0.06308917
0.281738 1.559127 0.06329104
0.2820002 1.559072 0.06352312
0.2823323 1.559015 0.06381869
0.2826304 1.558973 0.06407397
0.2829817 1.558924 0.06425919
0.2833302 1.558881 0.06429061
0.283694 1.558832 0.06432898
0.2840393 1.55874 0.06444202
